,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
69,Guatemala,GTM,2,4438.0,0.63700002,Nan,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789
123,New Zealand,NZL,5,26481.369,0.91299999,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531
107,Malta,MLT,5,24094.641,0.85299999,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562
61,Gabon,GAB,4,14525.28,0.69400001,Nan,5.5,2.875664710998535,2.666169881820679,Nan
84,Jamaica,JAM,10,4668.77,0.72899997,2.799000024795532,7.800000190734862,3.711759328842163,6.024670124053955,73.51493835449219
1,Albania,ALB,1,8516.7002,0.76200002,Nan,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
88,Kenya,KEN,4,1494.63,0.55000001,40.70000076293945,7.5,4.50993537902832,5.274750232696533,Nan
106,Mali,MLI,4,1063.26,0.43799999,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304
102,Madagascar,MDG,4,822.62,0.51099998,Nan,6.0999999046325675,2.968793392181397,2.0820400714874268,31.08041000366211
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,Nan
149,Sao Tome and Principe,STP,4,2150.55,0.565,Nan,7.9000000953674325,Nan,3.7568199634552,64.42681121826172
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281
177,Turkey,TUR,3,16900.711,0.764,77.69599914550781,3.7000000476837163,3.4221570491790767,4.766260147094727,87.16455078125
167,Sweden,SWE,5,39000.91,0.90899998,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
129,Marshall Islands,MHL,9,2833.97,Nan,0.0540000014007092,Nan,Nan,Nan,64.4613037109375
19,Botswana,BWA,4,12770.73,0.69800001,Nan,5.099999904632568,3.523580312728882,Nan,Nan
99,Liechtenstein,LIE,5,102243.52,0.91100001,Nan,Nan,Nan,2.556040048599243,91.53871917724608
3,Andorra,AND,5,32367.33,0.85699999,Nan,Nan,Nan,2.997809886932373,Nan
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
131,Pakistan (1971-),PAK,8,2855.55,0.54799998,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490020751953,6.199999809265138,4.54694414138794,Nan,67.44245910644531
154,Sierra Leone,SLE,4,979.9500099999999,0.43099999,6.23199987411499,8.399999618530272,2.986086368560791,2.661669969558716,Nan
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,6.300000190734862,Nan,Nan,Nan
68,Grenada,GRD,10,8314.5596,0.75099999,Nan,8.399999618530272,Nan,Nan,82.3596420288086
92,Kyrgyzstan,KGZ,1,3010.24,0.662,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,6.800000190734862,4.0338730812072745,5.924600124359131,62.83831024169922
95,Lesotho,LSO,4,1539.79,0.495,Nan,7.4000000953674325,4.053547382354736,Nan,35.21265029907227
91,Kuwait,KWT,3,64342.710999999996,0.79900002,3.999000072479248,3.0999999046325684,3.075769186019898,Nan,83.57884979248047
35,Chile,CHL,2,15519.08,0.84500003,17.81900024414063,3.2000000476837163,3.69163703918457,4.750120162963867,88.29785919189453
137,Poland,POL,1,19990.939,0.852,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
97,Liberia,LBR,4,488.26999000000006,0.42699999,Nan,6.5999999046325675,3.472222328186035,2.757560014724731,Nan
67,Greece,GRC,5,25295.27,0.86500001,10.927000045776369,3.7999999523162837,2.999258995056152,Nan,95.0673828125
116,Mozambique,MOZ,4,852.39001,0.414,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266
127,Norway,NOR,5,57634.77,0.94800001,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
142,Romania,ROU,1,14563.14,0.79799998,19.95299911499023,4.5,3.833498477935791,3.1291799545288086,83.92993927001953
193,Zambia,ZMB,4,1916.79,0.57599998,Nan,7.800000190734862,4.3288354873657235,Nan,Nan
179,Tuvalu,TUV,9,3174.05,Nan,0.0109999999403954,Nan,Nan,Nan,69.80497741699219
105,Maldives,MDV,8,13349.76,0.70099998,0.335999995470047,5.599999904632568,Nan,4.1469597816467285,Nan
55,Eritrea,ERI,4,1007.28,0.41800001,Nan,7.5999999046325675,Nan,Nan,28.41555976867676
159,Somalia,SOM,4,1436.74,Nan,Nan,9.199999809265137,Nan,Nan,Nan
39,Comoros,COM,4,972.35999,0.498,0.7760000228881836,7.800000190734862,Nan,4.868619918823242,43.934471130371094
168,Switzerland,CHE,5,50454.41,0.93800002,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
73,Honduras,HND,2,3303.1399,0.62300003,Nan,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
162,Spain,ESP,5,31086.35,0.88200003,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625
126,Nigeria,NGA,4,2246.8201,0.52499998,160.3419952392578,7.0999999046325675,2.85273027420044,Nan,Nan
36,China,CHN,6,9283.3799,0.73400003,Nan,4.599999904632568,4.028250217437743,Nan,Nan
134,Paraguay,PRY,2,4812.9199,0.69199997,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719
76,India,IND,8,4256.79,0.61500001,Nan,5.5,4.156626701354981,3.842360019683838,61.75524139404297
37,Taiwan,TWN,6,33965.871,Nan,23.43400001525879,Nan,3.908831357955933,Nan,Nan
27,Belarus,BLR,1,17780.641,0.79799998,9.468000411987305,3.4000000953674316,Nan,4.990439891815186,99.46544647216795
109,Mauritius,MUS,4,10944.54,0.77899998,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
178,Turkmenistan,TKM,1,13217.39,0.68800002,Nan,5.099999904632568,Nan,3.055900096893311,Nan
7,Argentina,ARG,2,15102.61,0.82599998,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562
25,Myanmar,MMR,7,5733.3701,0.55199999,51.41899871826172,5.699999809265138,2.659119129180908,Nan,48.25643920898438
119,Nauru,NRU,9,3130.47,Nan,0.0120000001043081,Nan,Nan,Nan,71.94534301757812
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,Nan
87,Jordan,JOR,3,5188.9199,0.741,6.675000190734862,3.5999999046325684,4.585320949554443,Nan,81.37625122070312
31,Cape Verde,CPV,4,3972.6101,0.64600003,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789
48,Denmark,DNK,5,37406.762,0.92299998,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
46,Czech Republic,CZE,1,23847.08,0.875,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,Nan
155,Singapore,SGP,7,54268.148,0.92400002,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,Nan
29,Cameroon,CMR,4,2658.51,0.514,Nan,7.5,3.810850858688355,3.029900074005127,43.13555908203125
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
108,Mauritania,MRT,4,2223.01,0.51300001,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723
9,Austria,AUT,5,38868.039,0.89200002,8.543999671936035,1.5,4.492074966430664,5.499549865722656,Nan
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
58,Finland,FIN,5,36958.211,0.89300001,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952
132,Panama,PAN,2,15137.04,0.78500003,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
113,Moldova,MDA,1,4207.8701,0.70099998,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281
146,St Lucia,LCA,10,11095.8,0.73500001,0.1669999957084656,Nan,Nan,4.901659965515137,77.71405792236328
