,content,sentiment
20472,@ehasselbeck braving the standby line @ TheView bright &amp; early today!! hope to hear about your book &amp; hope I get in! 3rd time's the charm,neutral
25757,Chilling with my baybee sarah!  i love this girl,love
22526,Millenia mom.... I think I am in that category,neutral
38800,Sitting on my sunny balcony and learning for the Dutch exam,relief
1735,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,happiness
14851,its raining! boo,hate
14263,Whuuurrrrr - glands really swollen now. Guess the weekend's a blow out.,sadness
5865,@mikebugout Nooooo!  Working this weekend,worry
24023,"@laflour good suggestions, thanks",neutral
17075,@MileyIsAmazing1  take tylenol or advil? whatever one i never get headaches so i dont know which is better,neutral
1093,@NellaGrl not really having a good night... missing my little girl...,sadness
27292,http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,love
10974,So freaking tired. I want my sleep pattern to be normal,hate
36406,"Hey Girlie, How are you doing?  @ThaMissus",neutral
3927,Just got up a half hour ago.... Ugh not much sleep,relief
4587,.@daveharte ... and now I wish I hadn't,worry
2320,...I have to study ....,worry
33067,just woke up from a nap...,empty
23082,@Andrew_Johnson: have a good night,neutral
7059,@webchickbot The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,neutral
7889,My convo starts in 12 hours... and I am sitting 6500Km away writing GIS queries,worry
26937,Watching TV Patrol for more Manny news,neutral
4139,Oh no adult school again,worry
25366,@tommcfly I just read online the article you mentioned..meh.  I am very happy to be stuck on you and the guys--just try and get rid of me,happiness
31389,@o0CHiiNKz (blinks fast) its better now ... Lol thanks :-*,love
5188,Cab is so slow so I will probably miss the first beer...,sadness
7194,is gutted she isnt going out tonight,worry
39493,Cleaning all day today after he runs off to do his stuff and setting my schedule for the week.  I feel much better now and calmer too!,relief
34514,"Huge test at the parents' house. The food is so good, but stuck to one helping, no seconds. Feels good.",happiness
33367,@jlee07 Thanks for the following and support!!!   &lt;3,relief
5123,"@ryking I never know whether they include me. Just straight white men, right? I wanna be part of the problem too.",worry
12908,"@idmoore Enjoy your day too! Prob see u up top of Glyders. No pint for me, gotta drive straight back as we've got Dog stuff to do Sunday",happiness
14015,@theloudninja Not by choice.  I have to use it for that one project that never ends!,worry
24205,Brilliant weekend.  BRILLIANT I SAY!    In work now and actually working .,happiness
7602,Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,worry
8601,"piecing a photo quilt for Boeing employees to be hung in Huntington Beach. Sadly, many people in the quilt pics are now laid off.",sadness
24503,@Jamie_127 not nice.rather be one or the other.lol,neutral
22474,140 pages and i'm done with eclipse!,happiness
37954,"how is it, is it good?  @miss_flora",neutral
38361,FacePanda is cool,happiness
38203,@ABIBAN where you ladies off to?,surprise
29760,i now know that we've made a difference in each others lives...i feel proud.,worry
6285,@MynameisDon I ALWAYS miss out! I wont be able to commence in the foolishness til' the fall  But come fall I'll be visiting!! YAY!!,sadness
23783,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",surprise
29326,This cigarette is so relaxing,neutral
101,@mrgenius23 You win ... SIGH Rakeem,hate
36940,Yeah Yeah Yeahs - Softshock,neutral
5400,"4 hours of sleep, a migraine, again? What is wrong with me?    hate my life",worry
28667,@rayatkinson last I looked.  Hi back...,surprise
35651,@Lukevdp Actually people were more decisive than that.,worry
9052,"An hour of walking in hot weather = a satisfied but hurting Nellie.  Ow, blisters.",relief
20787,She doesn't believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,worry
38242,Gatorade first thing in the morning = yumyum  feeling shattered but must arise and revise for IT tomorrow.,sadness
22161,Finished my Lunch,neutral
27584,"@ReneeJRoss Sure is rainy! the storm has left everything, everywhere... @litefm would love 4 u 2 follow us",love
35432,i have a whole day planned for my mom today that i know she will love!,fun
25753,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",surprise
23860,@JackJohnstone tomorrow night would definitely work,neutral
32879,@imsomiami86 i been coolin and shit ya know me,fun
35943,@joooo The rest of the week is less than 2.5 hours long,sadness
35930,"better get to sleep, dodger game/mothers day 2maro  ewl i have to wake up at 8!",fun
38390,"You follow me , I follow you. As simple as that",fun
22859,my monday running so fast!,love
2557,#3wordsaftersex i think im bleeding.,worry
12014,haha aww ok now back to bionomial expansion  ugh! joy,sadness
6294,Sun has been making me happy =] Shame about work tonight  x,sadness
9255,@memphianmallory Too traumatic to even discuss and none of yall are here!!! Everyone has left for the weekend.,sadness
36146,"@joooo No, but Geek Minds Think Alike.",sadness
16137,heading to work,neutral
1631,My stomach is killing me do j can't sleep,hate
19568,"@roomerholmes I know it's in HD, but Comcast doesn't have it.",neutral
16028,"#millsthemusical  @lauzzaa i hope you've listened to some of these songs, they are so funny :L. i still haven't heard about ticks  x",neutral
23663,@iiacovou  hiya!  did you get a picture of your converse?? GET YOUR CONVERSE OUT!,fun
2964,@Quietjack I'm probably going to be doing the same thing,neutral
2037,I'm pretty sure Isis has a tapeworm.  So she's allowed to snuggle with me all she wants tonight.,hate
34405,"@linnraz home for 4 months  or less. depending on how fast i get bored, hahs.",fun
21663,@PhilLHerold Thank you,happiness
18974,@KSegIII  my cousins moved there like 2 years ago and I miss them so much. I was just looking at their facebook and now im sad,sadness
25317,is currently watching supernatural whilst waiting for skins to come on,neutral
6102,i realy wanted to go out cause its so nice but everybodys busy,love
3327,@girlx they're at the bottom of the thing and aren't moving at all. feels bad man.,sadness
22003,@lillytown the happiest place on earth  j'adore,surprise
4924,Rainy day today.  No car so we're stuck in the house   I needed to go to the post office too...bastards,sadness
11064,my baby's off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,worry
3571,#liesboystell buzy this week,neutral
30055,nachos and the tudors? i think so,neutral
17672,burning all my imovies over to dvds because im computers getting replaced..,empty
28278,@aquarices2 just driving...err speeding.,neutral
34936,@andrew_apuya hey hey andrew!!! haha! ;P well happy mother's day to your mum.,worry
38020,@junkyardbluess Report your findings to me,neutral
15729,just kidding. its standing room only.,happiness
12048,"now it's weekend! It's so great!  I saw the rest of Twilight tonight, and i also have read fininsh  Break for know.. Could I do that?",fun
11059,@shi819 my gaming thingy. Mine finally died after 5 years. RIP.,sadness
28641,i decided that myspacee is wayy better,enthusiasm
38716,@josepicardo Ahh okay makes sense to start the preparations now then,worry
10718,"Note to self: don't wear steel toes to the court house, I'm just sayin",neutral
15695,"Watching 1971 edition if Old Grey Whistle Test. Fanny, Mamas and the Papas &amp; Isaac Hayes. Don't make shows like this anymore",enthusiasm
1083,"up early again  loads to do- but the suns out, hurrah!",happiness
12427,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD,sadness
9042,"i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber",neutral
24549,@HaoranC Go for it!!,happiness
12053,@KTVL I gave up following @KimSherrell - She seems really nice but clutters the hell out of my feed.  It got annoying.,love
2079,@zaam It's is in the July issue of OXM... so I don't have anything to link you to right now,neutral
29897,@Java4Two TY very much for FF,surprise
17623,I hve a blister on my pinky nd it hurts soooo much!,sadness
12198,FJGKFLD;'Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.,sadness
31201,"@tonyrobbins it's ok to tell yourself, 'I'm different!' because you are.",neutral
5787,Now to go home and cry,neutral
6108,@claireyjonesy mines curly atm  i want mine to be straight lmao,love
27609,"@lamacq Si seguisses als stormtroopers, a Jabba The Hut i a Death Star te n'hauries enterat abans que jo!",neutral
9975,#Java is not working - hmph!  Can't upload photos to #Facebook.,worry
19225,I am finally plugged in to listen to Flashpoints on http//:www.kpfa.org shoutout @norabf and have missed the segment about Chevron,happiness
7931,@iamdiddy I need a hug cuz these garbage truck men keep driving next to me whistling and Im working too hard 2 graduate...,worry
745,@daveg38 yeah work today  never mind only one day then sun sun sun....,neutral
37607,its ok @samcarterrules saw u with joey thought u looked interesting like the same things on  #SanctuarySunday,happiness
38503,"is up, slightly later than planned... gunna get this essay done 2day!!",neutral
25362,@hot30 see u bye see u!  i love the hot30,neutral
9348,@marebear521 did u try taco n mac n cheese pizza???? I'm so cravin it right now BUT all the good food makes me sick,surprise
21650,@nnaa the rain was pretty nice. I only have 150 meters of cobbles on my way here,relief
31105,@daysgoby - thanks!  it'll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol,neutral
17497,@hopei91 I am lost. Please help me find a good home.,worry
22375,When will you be saying &quot; hello there NEW ZEALAND &quot;  haha @taylorswift13,fun
29731,i have no idea what im doing and i am completely lost.,sadness
34347,@amberchase ~ We voted! You have 760 now.,relief
38833,@melissagreen http://twitpic.com/4wsk3 - too cute,love
5149,@miss_devi thankyou. i wont but you know,love
21041,@natalietran I don't like the term &quot;partner&quot; when it comes to relationships. It's too business like so that's my ugly word of the day,sadness
26226,"@LeelooDogBlog Thanks for all of the awesome tweets LeeLoo, glad you enjoyed the weekend.",relief
21863,Celebrating the fact that Norwich City got relegated yesterday.  Seems like myself and the awfully nice Mr Fry are football rivals!,love
11019,@MItchBenn ooo and good luck for dundee tonight i can't be there cos i have a ton of uni work,worry
8373,"BTW, for the record, can I just say I have waaay too many clothes.  While packing, found a green boa &amp; a 22&quot; velvet and black corset.",surprise
26985,@kduggs1 OMG I just spit my drink out! RIP hair straightener!!,surprise
38633,@jonbongato haha it will be interesting haha,happiness
18350,"Just chillin' in pjs after a short, but long week - why is someone continually knocking at my door?",surprise
26711,@GotSoul GREAT song,fun
26378,@dougiemcfly have fun walking home on your own  xo,love
14152,just got home and  i got to freakkin clen,neutral
13757,"@nicole531 http://twitpic.com/5s5f9 - Joe had the same shirt in the concer here, in Chilee! hahaha Big rob wasn't here",neutral
4941,sitting in awe that the price to renew my laptops warranty has doubled in a matter of weeks,neutral
17989,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,sadness
5931,@_Enigma__ OMG daon't tell me you have watched twilight enuff to know that !!,happiness
35649,"Hope everyone is okay, especially Americans who are affected by the fire or the Swine flu(h1n1) . OKay, I should pray for them",worry
31822,"@ms_hypnotic oh thanx, just when i thought ilost it, iappreciate it",relief
19272,epic fail with the chocolate fountain that got CLOGGED,sadness
26718,Omfg this test is a joke.,worry
172,is feeling sad... for some reason..  http://plurk.com/p/wxji3,worry
28219,"Ah, that was easy  I just received the new link for the Reegie rig",happiness
20908,Finally sleep time,relief
25937,@TechSmith whatever u want us to wear / stick / show off around DUMBO Brooklyn &amp; Manhattan,worry
38028,I have Vampire Knight  music!!!  I feel very special..,happiness
930,Blackout in the city is never good,sadness
34708,watching marley and me,neutral
39999,@mopedronin bullet train from tokyo    the gf and i have been visiting japan since thursday  vacation/sightseeing    gaijin godzilla,love
4013,"@Laura_McKay2009 sadly no, sitting inside as mobile signal won't work in the garden   I'll be opening the wine at bang on 5pm though!",sadness
9204,Got a deadline to meet!!! No TGIF for me,neutral
38239,@scarlethyacinth I'm working on a painting due for school and hating myself for sleeping all damn day and starting this so late.,hate
6710,@jmorgan0909 and I'm not getting another one ... There's only 1 alfie,sadness
35720,@SarinneJonas thats so cool,happiness
38641,@kiwi_from_hell @sporkess how's monday for you?,enthusiasm
19942,@FlyGyrl1 I been following.... LOL.. just dont be paying attention to little ol Mylan,worry
10223,Just had some babi pangang. Now off to friends. Tomorrow it's working time again,happiness
29312,@mbm88 ahhh I'm drinking some too!! And bride wars is really good,fun
26497,Finally upgraded to Spotify premium - exceeded my threshold of awesomeness some time ago. Now where's the iPhone app &amp; remote @spotify?,happiness
36812,@bgbrwneyesNY hm... i don't I can recommend any white chocolates though.. you have to move to the 'dark' side first..,worry
36371,"@ppchen hehe, yes i did change my name. like it?",neutral
33968,"@DMBwine yes - I'm having my usual battle with my bed. Bed is winning, so far  How are you chick?",worry
36269,"Installed NetGear 802.11n (draft) router today, throughput has definately increased",happiness
35021,Hello Everybody   'Tis a cloudy day here in Amanzimtoti today.,neutral
12849,@SQLDBA Sorry  I'll make sure to bomb in talk at SSUG next month as penance ;-),hate
13491,Headache,worry
34280,"@kristenstewart9 WOW, I can't believe u reached the Facebook limit for # of friends! Crazy!!",happiness
30572,@tonysarti is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,neutral
4940,@tigerlilyleo lots and lots of red wine...knowing good and well how it has managed to make me sick a few times before,worry
19022,so bored...miss everybody already,sadness
34311,@arcadecore you wish,neutral
36339,Staying in the mercure,empty
34579,@steve_berra happy birthday!,happiness
25733,NEW STRIPEY TOP DAY!,happiness
31890,"Happy Mother's Day to all the moms! If you're an awesome mom, you'll help #savechuck",love
38308,Just downloaded a podcast @ the bus stop,relief
24358,@meriel I know it's not meeeee. Im surprised either  At least I get to laugh at myself UNLIKE SOME OTHER PEOPLE ),surprise
2683,@Phoebo yeah....but I finish go home get changed etc etc then im off again,neutral
37503,Found controls for left hand people like me on twitterrific. Excellent,surprise
25888,@pincheguera I got you today,neutral
31002,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,surprise
22294,@player112345 Good Morrow! How are you this fair morn?,worry
25699,Good morning Monday...  I feel as though you came to visit too early... But I am happy to see you none the less.,happiness
27074,@Djalfy I sound really Brummie lol but most of all I just hate looking at myself!,hate
6545,Yesterday I heard a song about taking a base onto a plane. Can someone help me find it? I don't know anything else about it.,surprise
10646,Home from school. Out tonight? Probably not,neutral
18529,No B2G1 for me.  Trying to save cash for next month's vacation.,neutral
16462,Is heading to work n its freezing!,neutral
14892,@aileenwilliams Yes but was the nice one. He couldn't believe the other guy kicked Max. He's off for a week soon,surprise
5536,@NancyEDunne oh Nancy - so sorry for your loss  &amp; wishing you the best!,worry
17009,@ceidiog I'm not in America! I'm not going anymore  You phoned earlier?,neutral
34318,@citycynic Sounds good to me! No more cleaning cynics orders. Haha. Good night. Talk tomorrow.,happiness
36721,@wildarmsheero That's exactly why I follow you.,neutral
34173,the boys didn't finish their tacos so now I'm eating them happily,love
30844,Happy mothers day to all the mums!,love
39146,couldn't resist ? http://blip.fm/~5z7v3,happiness
28582,@DiscoStarChild hahaha n I'm a do the same for u,happiness
10599,PArts of me are starting to feel the effects of over tanning,neutral
22149,@JLSOfficial ... but i could barely speak! He was probably thinking 'who is the weirdo?' LOOOOL. Say sorry to him for me please?  x &lt;3,worry
16955,Scared  waiting for the call,worry
28826,@retrorewind can you play I Wish by Jordan Knight,worry
18713,@MilaXX don't go to logan square we're pretty sure the shirt isn't there  1 more philly local tmrw,neutral
14725,@mikki_kayla02 Sorry! I didn't mean to ruin the rest of your day,worry
32115,Fuzzball is more fun than Mother's Day  http://tinyurl.com/dhpol7,happiness
6302,Sad day in the office. Glad it's Friday. Like to get away from this for a while. Poor co-worker just lost her son.,sadness
24878,"@kiranchetrycnn Kiran, Sorry about ur bad land'g: Hope ur neck feels better. At least, u didn't break it like JD. Btw, ur in fine shape.",worry
37574,@welshblue78 I did?!  yay! Where did I get that extra ï¿½300 from? Hmm.. anyway  I'm going to be partying hard when I get it,fun
35715,"@MISS_OTTAWA ur welcome, sweet dreams!",happiness
26960,Well hopefully I'll see you both @rasikakrishna @chrisloos at the conference,worry
25101,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?,love
10127,@omar10points haha calm down. Youll get ur shades. I'm still sick tho. So I'll prolly knockout after,love
9800,@yayamartinez dude i am so sorry!!!!! I never got that number for you my fail  i just remembered,worry
31082,Signing off. Mom's day tomorrow.,love
8105,And it's gone.,sadness
29165,"@destroytoday - Tweetie is using Yfrog now, I think, so any chance of adding it to the in-client image viewing?",neutral
36568,i just read the sweetest story in the entire world  love it http://bit.ly/118lGL,love
2272,@fauzims It was white...  I acidentally left it in when i was doing my colours...,worry
13654,@BrittanyASnow LOL YOU ALWAYS FORGET ME,worry
4589,I feel like... I'm not gonna make it this year,neutral
21002,@rosieroserosie can't believe i wasn't following you! am now  have an anatomy prac tmw so tonight i'm all about structr of the lwr limb,happiness
23896,@IndigoGardens Lol! Joyologist? Love it - much better than the happy freak who can't stop smiling  Enjoy Monday!,love
27643,watching shows I missed on the ellipital--- love my on-demand!,love
396,my stupid tooooth hurts,sadness
16565,owe i just burnt my hand on the toaster oven,worry
29576,finished the book... vat a good book &lt;3333,enthusiasm
8588,@ThePrinceBeMe Awww why you giving me sad faces? That's how you feel?,worry
33728,@Dropsofreign make a prank call for me,fun
19150,has a tummy ache.,worry
26787,i have to study :O talk to you later  xxx,hate
31135,Can't wait for the next twitter.,enthusiasm
16248,@mitchelmusso how do you call that number from the UK ??  I really want to call u but I don't know how to  xxxxxx,neutral
32263,"@ocell great to hear you saw Slumdog Millionaire! And yes, that's a Bollywood thing at the end",happiness
15182,People are just pisssing me offf. Ugh,hate
139,"I cant sleep, but im too sore to move",worry
3383,@DJIronik hmm....well it aint that hot in hull lol   xx,fun
28493,@MaddieWan Maddie starts working? WATCH OUT WORLD!,happiness
23742,"oooh babies, i wanna hug you all",neutral
13129,@Akoha i promised myself i would spread the cards around India...and I only gave someone a deck &amp; then never gave them out,neutral
10897,I need to lay down. Cramps suck asshole.,hate
26500,Good Monday to all. It's still wet outside but inside I'm sunny  I'm feeling a surge of warmth and energy. This will be a good day!,happiness
16773,@karleigh and @katiesantry there is no top 40 radio station in fresno!,neutral
12632,Ouch just burned myself making soup for nico...,worry
22603,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!",love
19059,wishing i could go to CaBo tonight,fun
12363,@lell I live here and I don't see all these great things,worry
16643,"Upcoming trip...Italy, France and Belgium...yeah.  Sadly, no Germany.  Surprisingly bummed about that.  Almost a tradition.",surprise
27548,@madamecomedy IKR?! My mom got it for me a birthday a few years ago. Tis the best,love
35241,HMV Shinjuku,worry
27960,happy star wars dayyyy =D and hbd to uncle LEE,happiness
8811,I do NOT feel good today,worry
37327,Happy Mother's Day!,love
24958,@mandacrow good morning!,neutral
35385,@npyskater Thank you!,enthusiasm
25913,On train with at least two gaggles of teenagers sitting &amp; the commuters squished standing in the back...at least the teenagers let me sit,neutral
2738,@empemp: aiaahh.. poor u  tell ur mom already?,worry
36751,Loves fatty take away nights... yummy  then coming home and facespacing with my roomies,worry
7581,@Jadeyyg  haa I'm so exciteddd woooo,worry
39843,@halia Smile. Everything worked out.,relief
35733,Watching the kids eating an ice cream.,neutral
10182,"@Yasmine32068 LOL I do too.... I can't take him back, I lost my receipt!",surprise
18152,i need to speak with @sofiedeville! but i left my phone at home,sadness
35724,@JackieShimamoto i love cobra starship!!  thanks for the suggestion!,happiness
18318,leather jackets=uncomfortable....not my thing,empty
31591,@homeworld http://is.gd/yiOj,neutral
2493,very tired and anxious,sadness
13183,a headache once again ugh,neutral
26133,graphic design..should be making a business card..but im on TWITTER!,neutral
3831,Almost showtime in Osaka.  Our last night here in Japan  I will miss youuuu,surprise
8913,Such a beautiful day...wish my bike hadn't been run over by a car - hit and run.   #bikeTO,worry
21176,@mohdrafie Theres no such thing,neutral
28474,@sozah Morning Sunshine,happiness
35908,@AndrewRatcliffe  they certainly warmed mine,neutral
39392,@verflucht Thanks,love
30526,"@etherjammer  I think it's because I'm always offtopic and sometimes inappropriate (germination and &quot;fruit picking&quot; jokes, etc)",fun
19476,@hannahxmakeup my stupid putet won't let me go to your chat,sadness
15709,"i'm sunburnt on my arms, and i have burnt my mouth, and some skin is coming off",sadness
23909,"@Mollieandme Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",happiness
17052,"Today is just not my day. I can't seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah",sadness
31632,"Thanks for the concern, guys. A few stitches later, all is well. Whew.",happiness
16559,@hatz94 Nooooo get on now! Haha i'll be gone later,worry
17533,@Colie5cent $300 later... I feel so good! But guilty,happiness
35989,@cbraik very cute and pretty,neutral
15575,Aaarrrgh! I sooo want to see @johnlegend at MSG in August but dammit the decent seats are expensive. Booooooo recession!,sadness
20902,I'm writing from my BlackBerry now.,surprise
7618,@etdragon i'm playing good because i'm a big baby,fun
113,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral
28477,@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere,empty
9075,@fletchernet i help represent high profile actors for their tv/film/theatre careers so get free tix.. but not for Jersey Boys..,surprise
10816,one hour till I go home and commence pouting because no Bahama trip for me,worry
13696,@Rysherd yes! My co-workers don't go to bars with me,neutral
37498,@sarahnd for nearly a month!!  So exciting,happiness
33034,@kierantong I know anne and judy,neutral
39779,"http://twitpic.com/4wukz - At Covershots, Kelana Jaya, for Carter &amp; Nicole's wedding",neutral
2405,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant,love
25805,@Farung now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house,worry
19400,@yomama8929 I go into the room for the first time in weeks and you're off cleaning,sadness
8505,"this evening,picking up n'pop and go for dinner at Ta Lum Tum Tum (som-tum),Major Avenue..decided to go home(not clubing tonite)..",sadness
36912,I am listening to the music of Super Juniors of Korea. I so like the way they sing and dance. I hope someday i can meet them.,fun
7304,"am planning on going to sleep early, too tired to do any work",relief
35681,@unitechy wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time,sadness
27803,@twistedthursday She does!,surprise
36933,@glennlunder Yep. Wasn't that much to play with though. Just install and voilï¿½! It works  But you need a fast connection...,neutral
32407,@Werby76 oh suuuuuuuure...rub it in why don't ya!!!!!!!!! LOL Enjoy!,fun
8218,"Awww NOOO, not my Venus        Will redemption come in doubles?",surprise
28618,Thanks so much to everyone who came out to Speakeasy last night! What a hit. Wonderful to see you all having fun! June will be awesome.,happiness
7285,"@shae75 ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",neutral
19915,Josie's out of surgery. She's now officially unable to procreate. And She's way out of it... Poor medicated baby,sadness
10591,R is going to be mad :/ Science of Sleep is missing and it's due back! I didn't even get to watch it!,sadness
14154,"Choir assembly was bad  it's fucking hot, yay!",happiness
31665,@Jinxie_G yup - that's where I watch all my movies,happiness
29032,I lafff the rain,love
5094,home for lunch &amp; double free. work 5-8. so much school work,empty
32747,"Incase I forget, Happy Mother's Day to all you moms out there, and to my mommy. The very best one in the world",love
20127,"says i got 2 cards today, from eva n clara. thanks, guys.  http://plurk.com/p/roo6c",love
13576,Too busy at work today to trash the cubes of vacationing team members,worry
14423,"@ScotDale i dont, i'm not allowed to vote  perants complain about the cost so dont let me vote. but i love his act its just so different",love
3743,I need something t do like hello... Im fucking bored now.  um... yeh...,boredom
6242,So booooored  I learned this though! ????????,hate
17455,Sick of fighting so it looks like no more burlesque for me,sadness
26106,I don't wanna work a 10-hour shift today! I'd rather whisper sweet-nothings into the earpiece of a lady friend's cellphone.,fun
624,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",happiness
12761,@JennLovesM5 DUDE WHAT? I WANNNNAAAA GOOOOOO,surprise
6845,@scarletty24 i know.. i suck.. i'm a master procrastinator  ... you guys don't have too much fun without me,sadness
35431,this one goes out to Jimmy Fallon and Justin Timberlake...doin' their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd,happiness
34743,Making a milo,neutral
17291,I need to look at apartments tomorrow,fun
30317,"I love these App things, it be hella awesome bro.",happiness
23804,@crazy_people sure is,happiness
29384,@GreeGreece it's the little thing that links us to England,neutral
25031,@ChrisCuomo DO NOT DO IT  I've seen enough  movies to &quot;know&quot; that something terrible will happen... LOL,worry
37294,Marking going ok so far A's and B's so far - relieved it looks like I have future programmers in class,relief
16530,@mtmont gah!!! twitpic is uploading sideways today,hate
34894,Paper writing til my heart's content,love
31337,Heaven- Bryan Adams,neutral
15019,I need a Xanax and have none,worry
18097,@Pointman24 I always yell TRADE ME when I see old people with super nice cars. I have an old people car,neutral
2771,Trying to get some sleep but cant  i gotta wake up early for my doctors appointment too ugh!!,worry
39110,"@LucyKD lmao, im only joking mate",happiness
